time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
181095,24445,7,760.34085653,100.0,2040,4.0220232009887695,0.00073,0.02902102842926979,178094,4.407609462738037,-320.3370361328125
182095,24584,7,762.33619408,100.0,2050,3.7586796283721924,0.00073,0.029917586594820023,179094,2.98006534576416,-321.780517578125
183095,24723,7,764.82326195,100.0,2060,3.306891441345215,0.00073,0.028972869738936424,180094,-4.00535249710083,-327.215576171875
184095,24863,7,764.8221019300003,100.0,2070,4.120426177978516,0.00073,0.02910831943154335,181094,-1.4524656534194946,-331.4978942871094
185095,25002,7,756.64071996,100.0,2080,5.401576042175293,0.00073,0.029023969545960426,182094,-2.0565552711486816,-331.1405944824219
186095,25143,7,715.6293004199999,100.0,2090,4.162345886230469,0.00073,0.02907063253223896,183094,-1.5221989154815674,-334.7808837890625
187095,25283,7,711.51961364,100.0,2100,4.137715816497803,0.00073,0.029265210032463074,184094,-2.7633514404296875,-328.6837158203125
188095,25421,7,711.7620769900001,100.0,2110,3.3548364639282227,0.00073,0.028404951095581055,185094,5.963008880615234,-324.73193359375
189095,25560,7,712.0370891999999,100.0,2120,3.495391845703125,0.00073,0.02858768403530121,186094,-1.0694506168365479,-323.8587646484375
190095,25697,7,710.23342859,100.0,2130,4.198892116546631,0.00073,0.02791796810925007,187094,-1.0121939182281494,-322.29913330078125
191095,25835,7,710.68001323,100.0,2140,2.693225383758545,0.00073,0.028284532949328423,188094,2.607025384902954,-327.8517150878906
192095,25972,7,711.0027559399998,100.0,2150,3.380884885787964,0.00073,0.028299055993556976,189094,-5.848239898681641,-323.71533203125
193095,26111,7,711.4215702800002,100.0,2160,3.2706098556518555,0.00073,0.028495974838733673,190094,-6.480729579925537,-325.0035400390625
