time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
188000,1880,25906,100.0,782.4757647599998,7,0.014278075657784939,0.00073,2.4886984825134277,1.0385674238204956,-394.11212158203125,184999
189000,1890,26048,100.0,782.4749907199999,7,0.01657574251294136,0.00073,1.5221214294433594,0.6861382722854614,-393.90966796875,185999
190000,1900,26191,100.0,782.3546007399999,7,0.014415071345865726,0.00073,0.17517004907131195,0.33620771765708923,-393.8585205078125,186999
191000,1910,26335,100.0,782.19121326,7,0.014578893780708313,0.00073,-0.039443790912628174,0.6737903952598572,-394.7737731933594,187999
192000,1920,26475,100.0,782.1896735600001,7,0.015424233861267567,0.00073,-2.981674909591675,0.6701269149780273,-393.61627197265625,188999
193000,1930,26617,100.0,782.1466833200002,7,0.015088220126926899,0.00073,0.5725177526473999,0.7084317207336426,-393.96307373046875,189999
194000,1940,26758,100.0,782.06476081,7,0.015351862646639347,0.00073,2.0028202533721924,0.6854619979858398,-395.48614501953125,190999
195000,1950,26901,100.0,781.94374043,7,0.015841789543628693,0.00073,0.8641324639320374,0.3711186647415161,-394.98919677734375,191999
196000,1960,27043,100.0,781.7837251700001,7,0.01527752261608839,0.00073,0.30902552604675293,0.5151678323745728,-393.12127685546875,192999
197000,1970,27184,100.0,781.86302044,7,0.014917400665581226,0.00073,-1.0398344993591309,0.7061833739280701,-395.09765625,193999
198000,1980,27327,100.0,781.78282043,7,0.015825390815734863,0.00073,-0.9246435761451721,0.6683633327484131,-394.5381774902344,194999
199000,1990,27469,100.0,781.65885087,7,0.019922984763979912,0.00073,-0.930058479309082,0.6189199686050415,-393.3355407714844,195999
200000,2000,27611,100.0,781.6174896200001,7,0.013803960755467415,0.00073,0.3986354172229767,1.0095393657684326,-394.0531921386719,196999
201000,2010,27753,100.0,781.6966083400001,7,0.017192499712109566,0.00073,1.1380479335784912,1.1165587902069092,-394.913330078125,197999
202000,2020,27896,100.0,781.7393651899998,7,0.014740529470145702,0.00073,-0.40025800466537476,0.2614325284957886,-395.0375671386719,198999
203000,2030,28037,100.0,781.6562951100001,7,0.01355131808668375,0.00073,0.2222883552312851,1.1366196870803833,-395.0166320800781,199999
