time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
6,1930,200.0,59677,382394,1857.0123126300002,-522.8350219726562,0.00073,0.029369736090302467,379393,0.18677979707717896,31.073177337646484
6,1940,200.0,60011,384394,1789.1951259499997,-530.4976196289062,0.00073,0.029781656339764595,381393,11.706535339355469,41.636871337890625
6,1950,200.0,60364,386394,1823.6582310500003,-538.4219970703125,0.00073,0.030186830088496208,383393,3.259211540222168,202.50668334960938
6,1960,200.0,60721,388394,1794.6541726399996,-544.4708251953125,0.00073,0.029576869681477547,385393,-0.7344696521759033,31.599824905395508
6,1970,200.0,61095,390394,1818.8951838199998,-532.730224609375,0.00073,0.031207328662276268,387393,-5.004105567932129,35.813629150390625
6,1980,200.0,61454,392394,1869.0999044699995,-531.0299072265625,0.00073,0.0301364716142416,389393,6.90242338180542,34.053733825683594
6,1990,200.0,61784,394394,1833.26964093,-517.6012573242188,0.00073,0.029687808826565742,391393,7.862727642059326,30.653709411621094
6,2000,200.0,62120,396394,1855.8111224499996,-514.8021850585938,0.00073,0.030341481789946556,393393,14.26525592803955,31.692163467407227
6,2010,200.0,62464,398394,1843.10948194,-557.4807739257812,0.00073,0.029492748901247978,395393,-7.352487564086914,29.421964645385742
6,2020,200.0,62776,400394,1775.89699005,-511.2951354980469,0.00073,0.02847934141755104,397393,2.75026273727417,38.801666259765625
6,2030,200.0,63074,402394,1827.7061310799995,-554.0809326171875,0.00073,0.030070161446928978,399393,5.7423295974731445,31.13312530517578
6,2040,200.0,63386,404394,1889.23540462,-547.3590698242188,0.00073,0.029985038563609123,401393,-4.285022735595703,28.72845458984375
