time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
182000,100.0,735.4763499900001,1820,25769,7,4.148021697998047,-359.6671142578125,0.00073,0.2161460816860199,0.07287652045488358,178999
183000,100.0,735.7757234799997,1830,25914,7,4.808230400085449,-360.3218994140625,0.00073,-0.4565054178237915,0.07659760117530823,179999
184000,100.0,735.3289310599998,1840,26058,7,3.642367362976074,-360.32745361328125,0.00073,-0.2785187065601349,0.07649769634008408,180999
185000,100.0,736.5498802599999,1850,26205,7,3.621067523956299,-356.6632080078125,0.00073,0.5001185536384583,0.0735781118273735,181999
186000,100.0,737.2811085,1860,26351,7,3.294123649597168,-360.95330810546875,0.00073,-0.1530248522758484,0.07323142141103745,182999
187000,100.0,737.0805723999999,1870,26496,7,2.8480215072631836,-363.21209716796875,0.00073,-0.588737428188324,0.07235918194055557,183999
188000,100.0,736.7220144400001,1880,26643,7,2.9282021522521973,-361.3518981933594,0.00073,0.33223336935043335,0.0727720856666565,184999
189000,100.0,737.2817490199999,1890,26790,7,5.00791597366333,-356.6639709472656,0.00073,0.13802334666252136,0.07294883579015732,185999
190000,100.0,738.7387235900002,1900,26935,7,3.8194727897644043,-360.80816650390625,0.00073,1.224010705947876,0.07135239988565445,186999
191000,100.0,741.1792128199999,1910,27081,7,5.419399261474609,-359.17144775390625,0.00073,0.4804639220237732,0.07202595472335815,187999
192000,100.0,744.8427564900002,1920,27225,7,4.200855731964111,-359.64501953125,0.00073,-0.34963512420654297,0.0719778910279274,188999
193000,100.0,745.60716764,1930,27371,7,3.27866268157959,-359.7298889160156,0.00073,-0.17186622321605682,0.07073986530303955,189999
194000,100.0,746.7505144700001,1940,27519,7,2.8858189582824707,-363.48004150390625,0.00073,-0.4893602728843689,0.06977078318595886,190999
195000,100.0,746.3172590699999,1950,27666,7,3.7027459144592285,-361.38214111328125,0.00073,0.4199293851852417,0.0716458261013031,191999
196000,100.0,745.6078704399999,1960,27811,7,2.6921520233154297,-364.32989501953125,0.00073,-0.2853489816188812,0.07036308199167252,192999
197000,100.0,749.0266431300001,1970,27955,7,3.733161449432373,-360.5703125,0.00073,-0.7162818908691406,0.07188745588064194,193999
198000,100.0,748.97949527,1980,28101,7,3.5001392364501953,-357.3912658691406,0.00073,1.0081785917282104,0.07011998444795609,194999
199000,100.0,749.3824740499999,1990,28246,7,4.012820243835449,-362.2217712402344,0.00073,0.252694696187973,0.07145324349403381,195999
200000,100.0,747.56099351,2000,28391,7,2.6652908325195312,-363.5853271484375,0.00073,0.35529911518096924,0.07044871896505356,196999
201000,100.0,747.87410613,2010,28539,7,3.5244545936584473,-363.63311767578125,0.00073,0.19034673273563385,0.06948089599609375,197999
202000,100.0,748.28635719,2020,28685,7,3.7419216632843018,-363.47369384765625,0.00073,0.11968213319778442,0.07114247977733612,198999
203000,100.0,747.4142927800001,2030,28830,7,3.1491103172302246,-361.6828918457031,0.00073,-0.1363563984632492,0.06872761249542236,199999
204000,100.0,746.43749858,2040,28977,7,3.975576639175415,-364.35302734375,0.00073,-0.5667816400527954,0.07031059265136719,200999
205000,100.0,748.1870997499999,2050,29123,7,3.823455810546875,-363.8236083984375,0.00073,-1.2143430709838867,0.06867508590221405,201999
