rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
1691.2403935599996,354104,7,1800,49815,200.0,-1.5723605155944824,0.00073,52.20656204223633,0.03452405706048012,-451.8063659667969,351103
1622.6929413499997,356104,7,1810,50104,200.0,-3.26434588432312,0.00073,46.50328063964844,0.0321211963891983,-482.21295166015625,353103
1625.8310368500004,358104,7,1820,50392,200.0,-3.0858170986175537,0.00073,32.89936828613281,0.03193240240216255,-461.2342529296875,355103
1615.3582645900005,360104,7,1830,50689,200.0,1.6734609603881836,0.00073,49.610260009765625,0.03227373585104942,-471.9803771972656,357103
1597.6786469899996,362104,7,1840,50976,200.0,4.365917682647705,0.00073,48.2143669128418,0.032417260110378265,-476.4040832519531,359103
1490.63273595,363983,7,1850,51247,198.79,1.9504449367523193,0.00073,35.04155731201172,0.032937947660684586,-455.9119567871094,360982
1517.84723471,365983,7,1860,51534,198.79,-7.030747413635254,0.00073,38.35425567626953,0.03324626386165619,-485.6827392578125,362982
1538.48503161,367983,7,1870,51823,198.79,-4.509094715118408,0.00073,43.44227600097656,0.03379511460661888,-493.68548583984375,364982
1479.1276518699995,369983,7,1880,52109,198.79,3.2787322998046875,0.00073,47.961647033691406,0.03205094859004021,-469.3877868652344,366982
1527.2740816200003,371983,7,1890,52395,198.79,4.127337455749512,0.00073,36.21324920654297,0.03296320512890816,-499.80426025390625,368982
1519.9585593,373983,7,1900,52680,198.79,0.45703160762786865,0.00073,40.1331787109375,0.03247319534420967,-458.60064697265625,370982
1568.0247904899998,375983,7,1910,52961,198.79,-6.032505989074707,0.00073,34.32174301147461,0.03194712474942207,-469.0923767089844,372982
1581.9591418799996,377983,7,1920,53243,198.79,4.744647026062012,0.00073,36.73350524902344,0.031776100397109985,-479.67132568359375,374982
1561.8338083499998,379983,7,1930,53527,198.79,6.481329441070557,0.00073,49.20061492919922,0.03233613073825836,-494.6478576660156,376982
1538.6377881199996,381983,7,1940,53811,198.79,10.083999633789062,0.00073,34.437355041503906,0.032004330307245255,-489.9762268066406,378982
1659.25053727,383983,7,1950,54098,200.0,-2.453381299972534,0.00073,36.468727111816406,0.032076068222522736,-498.0723876953125,380982
1610.15812976,385983,7,1960,54387,200.0,-3.6153924465179443,0.00073,38.810829162597656,0.02974233217537403,-498.017578125,382982
1581.46116875,387983,7,1970,54671,200.0,-3.0897223949432373,0.00073,45.46929168701172,0.030592884868383408,-501.324951171875,384982
1614.2353801,389983,7,1980,54954,200.0,-1.0555224418640137,0.00073,32.73744201660156,0.03077644482254982,-499.26019287109375,386982
1531.3010422700004,391983,7,1990,55236,200.0,0.06470739841461182,0.00073,35.416385650634766,0.03156344220042229,-502.0970458984375,388982
1520.3807540900002,393983,7,2000,55516,200.0,3.1577389240264893,0.00073,46.87593078613281,0.03237206116318703,-516.0013427734375,390982
1497.81724147,395983,7,2010,55797,200.0,10.203579902648926,0.00073,44.22216796875,0.030857456848025322,-508.8286437988281,392982
1488.8930752799997,397983,7,2020,56081,200.0,5.10576057434082,0.00073,51.14991760253906,0.030043747276067734,-497.99871826171875,394982
1546.7888049300004,399983,7,2030,56364,200.0,1.5905821323394775,0.00073,32.86914825439453,0.031952179968357086,-516.2045288085938,396982
1546.6625151800001,401983,7,2040,56649,200.0,-7.04468297958374,0.00073,45.056243896484375,0.031102025881409645,-521.5928955078125,398982
