time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
6,911190,711.6048079900002,9360,130985,100.0,0.017460785806179047,1.219622015953064,-416.27618408203125,0.00073,908189,-0.744458794593811
6,912190,710.81170218,9370,131133,100.0,0.017135029658675194,1.0916619300842285,-416.07147216796875,0.00073,909189,-7.158061981201172
6,913190,706.2481710700002,9380,131278,100.0,0.013391588814556599,0.8012616634368896,-412.291015625,0.00073,910189,0.6876643896102905
6,914190,697.5048608600002,9390,131422,100.0,0.01989162154495716,6.007349491119385,-417.153564453125,0.00073,911189,71.35588836669922
6,914638,616.67869145,9400,131488,94.48,0.04501291736960411,15.118976593017578,-513.3711547851562,0.00073,911637,83.16182708740234
6,915638,555.5587502999999,9410,131632,94.48,0.05109916627407074,11.72825813293457,-536.6851806640625,0.00073,912637,-22.16161346435547
6,916638,534.2252563400001,9420,131777,94.48,0.029740523546934128,2.439833641052246,-493.3188781738281,0.00073,913637,-23.83486557006836
6,917638,536.1576173099999,9430,131921,94.48,0.020740171894431114,1.6000494956970215,-465.024658203125,0.00073,914637,-11.866497039794922
6,918638,541.41171146,9440,132065,94.48,0.017585251480340958,1.5451884269714355,-443.5654602050781,0.00073,915637,-7.759410381317139
6,919638,579.77843883,9450,132209,94.48,0.013835565187036991,1.5350582599639893,-431.490478515625,0.00073,916637,2.61784291267395
6,920638,586.75809626,9460,132354,94.48,0.01280656736344099,1.1325547695159912,-422.1442565917969,0.00073,917637,2.2237980365753174
6,921638,585.8593404000001,9470,132498,94.48,0.013022559694945812,1.1885426044464111,-415.11724853515625,0.00073,918637,3.8667359352111816
6,922638,534.70363554,9480,132640,94.48,0.013821671716868877,1.266910433769226,-411.0382995605469,0.00073,919637,-2.925600528717041
6,923638,528.5748270600001,9490,132783,94.48,0.013748662546277046,4.076642036437988,-408.418701171875,0.00073,920637,-0.6956537365913391
6,924638,603.4432556999999,9500,132926,100.0,0.013764766976237297,1.8601024150848389,-406.3166809082031,0.00073,921637,-4.733865261077881
6,925638,653.40070661,9510,133068,100.0,0.01327641773968935,1.6258974075317383,-404.9577331542969,0.00073,922637,-0.5138293504714966
6,926638,669.6235975600002,9520,133212,100.0,0.013566861860454082,2.858663558959961,-403.62677001953125,0.00073,923637,-8.90921401977539
6,927638,656.7433394,9530,133356,100.0,0.020543081685900688,4.322735786437988,-407.1986083984375,0.00073,924637,-4.148498058319092
6,928638,664.38905509,9540,133500,100.0,0.016630014404654503,1.706100583076477,-410.5067138671875,0.00073,925637,-24.1123046875
6,929638,664.3314093500001,9550,133644,100.0,0.016016226261854172,3.3749210834503174,-410.3172912597656,0.00073,926637,6.309206962585449
6,930638,626.16214146,9560,133787,100.0,0.03823758661746979,6.244647979736328,-434.01776123046875,0.00073,927637,10.089369773864746
6,931638,599.46729361,9570,133931,100.0,0.028371375054121017,2.802687644958496,-439.48388671875,0.00073,928637,-8.688546180725098
6,932638,655.20383952,9580,134075,100.0,0.020001867786049843,6.036838054656982,-429.4144287109375,0.00073,929637,-11.113809585571289
6,933638,670.03802993,9590,134219,100.0,0.016014080494642258,1.8607871532440186,-421.8664855957031,0.00073,930637,-5.109548091888428
6,934638,655.82396621,9600,134360,100.0,0.015362224541604519,2.480170726776123,-415.83697509765625,0.00073,931637,6.230154991149902
