time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
80811,44.39,42.24929946,7,10417,2000,0.00073,-3.3195502758026123,-772.6273193359375,0.11916307359933853,2463.864501953125,77810
81213,43.75,34.88847765000001,7,10471,2010,0.00073,-1.6643792390823364,-796.556640625,0.11574281007051468,619.5284423828125,78212
81641,43.36,37.09942939,7,10529,2020,0.00073,0.40909337997436523,-782.1780395507812,0.11688084900379181,263.85186767578125,78640
82112,44.67,26.579165220000004,7,10593,2030,0.00073,-4.557208061218262,-769.2119140625,0.11946910619735718,360.1106262207031,79111
82612,45.36,26.59350526,7,10660,2040,0.00073,2.106771945953369,-813.098876953125,0.11507218331098557,406.6748352050781,79611
83111,45.88,23.59178133,7,10729,2050,0.00073,-5.609626293182373,-755.753173828125,0.11791138350963593,180.58804321289062,80110
83537,45.91,36.43117014,7,10787,2060,0.00073,0.18077200651168823,-776.4190673828125,0.1112954244017601,282.8480224609375,80536
83834,44.22,50.28174886999998,7,10827,2070,0.00073,-1.584257960319519,-775.254638671875,0.1102537140250206,249.8745574951172,80833
84317,44.79,58.680100030000006,7,10892,2080,0.00073,8.615513801574707,-755.7974853515625,0.11182411015033722,335.6571044921875,81316
84789,44.51,57.63139561999999,7,10955,2090,0.00073,-0.46640288829803467,-736.2432861328125,0.110082246363163,263.9150085449219,81788
85242,44.31,67.25253901,7,11017,2100,0.00073,-2.3343167304992676,-718.44677734375,0.11564921587705612,432.054443359375,82241
85683,44.7,80.48432526,7,11076,2110,0.00073,1.7433369159698486,-755.6768798828125,0.11607896536588669,1572.3780517578125,82682
86115,44.74,62.69345640000002,7,11134,2120,0.00073,-3.145763397216797,-780.3917236328125,0.120713010430336,778.7774658203125,83114
