time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
1910,5037,19.85,39769,-7.809109440000001,7,0.0009304837440140545,0.022564733400940895,0.00073,4.466897010803223,-5.760568618774414,36768
1920,5070,19.99,40008,-7.747908229999999,7,0.0009631250868551433,0.023243792355060577,0.00073,4.367524147033691,10.449363708496094,37007
1930,5101,19.7,40227,-7.72278782,7,0.0009398628026247025,0.019394613802433014,0.00073,4.4244866371154785,-13.112691879272461,37226
1940,5125,19.7,40404,-7.577065769999999,7,0.0009118858724832535,0.023511148989200592,0.00073,4.479376792907715,7.524771690368652,37403
1950,5150,19.71,40588,-7.51091611,7,0.0008947879541665316,0.02246127463877201,0.00073,4.398881912231445,8.197152137756348,37587
1960,5177,19.89,40782,-7.4870817,7,0.0009393372456543148,0.018569741398096085,0.00073,4.39167594909668,-8.569896697998047,37781
1970,5206,20.13,40991,-7.508007200000001,7,0.0009159378241747618,0.02258838713169098,0.00073,4.269301891326904,-13.005960464477539,37990
1980,5233,20.25,41186,-7.421448939999999,7,0.0009088393999263644,0.017500992864370346,0.00073,4.351731300354004,-16.01905632019043,38185
1990,5258,20.15,41375,-7.310990649999999,7,0.0009140939801000059,0.022760342806577682,0.00073,4.396322250366211,-4.386902332305908,38374
2000,5286,20.24,41575,-7.325993410000001,7,0.0008813239401206374,0.01688215136528015,0.00073,4.29588508605957,12.197725296020508,38574
2010,5314,20.12,41781,-7.20029669,7,0.0008936456870287657,0.01563851162791252,0.00073,4.370772838592529,-2.5717263221740723,38780
2020,5343,19.85,41993,-6.95031835,7,0.0008992719231173396,0.015034018084406853,0.00073,4.224535942077637,7.006053924560547,38992
2030,5371,19.74,42201,-6.92119662,7,0.0008698480087332428,0.018126770853996277,0.00073,4.290524005889893,12.654593467712402,39200
2040,5398,19.9,42394,-6.955361229999999,7,0.0008694432326592505,0.018988974392414093,0.00073,4.237761497497559,5.09043550491333,39393
2050,5424,19.99,42587,-6.93114143,7,0.000873965211212635,0.018534105271100998,0.00073,4.3624958992004395,7.868598461151123,39586
2060,5451,20.05,42787,-6.9066600199999995,7,0.0009146424708887935,0.018102221190929413,0.00073,4.336183071136475,5.534152984619141,39786
2070,5480,20.01,42992,-6.83013984,7,0.0009278484503738582,0.02065267041325569,0.00073,4.26933479309082,-4.732778072357178,39991
2080,5506,20.02,43188,-6.800585349999998,7,0.0009016889380291104,0.019946472719311714,0.00073,4.418423652648926,-7.419478893280029,40187
2090,5532,20.06,43381,-6.804269240000002,7,0.0008975279633887112,0.017670536413788795,0.00073,4.302890777587891,13.15296745300293,40380
