rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
404.48643099000003,70.23,15514,7,1900,116411,0.00073,-226.00668334960938,113410,10.103099822998047,0.05302213504910469,-1.3218309879302979
401.38376762000007,70.23,15617,7,1910,117161,0.00073,-232.72360229492188,114160,8.30939769744873,0.05259629338979721,-1.1127984523773193
403.28164558000003,70.23,15721,7,1920,117911,0.00073,-225.5869598388672,114910,8.911426544189453,0.05361534282565117,0.936834454536438
405.0272013000001,70.23,15825,7,1930,118661,0.00073,-215.49082946777344,115660,9.525321960449219,0.05173203721642494,3.101144313812256
405.92604795,70.23,15928,7,1940,119411,0.00073,-223.57826232910156,116410,11.055756568908691,0.05426449701189995,1.5520789623260498
405.4764377,70.23,16032,7,1950,120161,0.00073,-236.17787170410156,117160,8.751956939697266,0.05362484231591225,0.7684671878814697
430.94198246,71.91,16136,7,1960,120911,0.00073,-218.54025268554688,117910,13.149246215820312,0.053639356046915054,-2.6311779022216797
493.70239104,75.0,16239,7,1970,121661,0.00073,-231.2713165283203,118660,10.253426551818848,0.051035426557064056,-0.8326934576034546
494.1543461099999,75.0,16344,7,1980,122411,0.00073,-234.4677734375,119410,10.327123641967773,0.05166557431221008,4.832002639770508
495.04071925999995,75.0,16448,7,1990,123161,0.00073,-235.80348205566406,120160,11.638469696044922,0.05134483799338341,4.328274250030518
500.73282378999994,75.0,16550,7,2000,123911,0.00073,-244.15127563476562,120910,12.379667282104492,0.05130239203572273,5.8285980224609375
506.95702704,75.0,16654,7,2010,124661,0.00073,-238.9356231689453,121660,9.613308906555176,0.05206040292978287,-3.485034465789795
507.78230984000004,75.0,16757,7,2020,125411,0.00073,-235.68612670898438,122410,10.352005004882812,0.05065276846289635,5.937987804412842
508.26998359,75.0,16861,7,2030,126161,0.00073,-230.7315673828125,123160,12.331891059875488,0.05197468027472496,5.581297874450684
508.08471887000013,75.0,16963,7,2040,126911,0.00073,-240.94190979003906,123910,13.868270874023438,0.05199981853365898,7.14418888092041
472.51921886,72.81,17036,7,2050,127442,0.00073,-254.2122344970703,124441,18.906984329223633,0.054150376468896866,2.9350147247314453
404.2245516299999,67.94,17072,7,2060,127705,0.00073,-257.99383544921875,124704,20.435447692871094,0.0491214394569397,0.23243391513824463
329.3394440199999,64.98,17135,7,2070,128159,0.00073,-242.14239501953125,125158,22.648040771484375,0.04820803180336952,-5.76845645904541
327.8829904,64.98,17237,7,2080,128909,0.00073,-244.75355529785156,125908,12.834307670593262,0.049315307289361954,-3.5066235065460205
326.23046383999997,64.98,17340,7,2090,129659,0.00073,-243.4552459716797,126658,18.928611755371094,0.05014052987098694,0.5024063587188721
323.87379072,64.98,17444,7,2100,130409,0.00073,-227.12713623046875,127408,12.790231704711914,0.04949577525258064,1.7523078918457031
321.98606688,64.98,17547,7,2110,131159,0.00073,-256.8645324707031,128158,12.526982307434082,0.04974857717752457,-4.4580583572387695
319.18413810000004,64.98,17651,7,2120,131909,0.00073,-242.13485717773438,128908,17.634584426879883,0.04930563271045685,-2.500326156616211
317.44210861000005,64.98,17756,7,2130,132659,0.00073,-240.16012573242188,129658,10.473010063171387,0.05153192579746246,-0.4333329200744629
